region,lat,lon,raw_price,raw_load,raw_volatility,raw_peak,raw_renew,raw_temp,n_price,n_load,n_volatility,n_temp,n_renew,profitability,sustainability,dc_score
NW,45.5,-120.5,111.4075,44563.0,2059.974946643066,59413.0,62.36958817317846,2.1223880597014926,0.6986493959303797,0.6986493959303797,0.6634135552260918,0.5817593448685775,1.0,0.6880786437190933,0.8745278034605732,0.7999481395639813
NY,42.9,-75.3,53.027499999999996,21211.0,659.9152558681578,24317.0,39.48215811263719,-7.329850746268656,0.9175203621605916,0.9175203621605916,1.0,1.0,0.5401722142051417,0.9422642535124142,0.6781205499435992,0.7837780313711251
NE,42.5,-72.5,42.925000000000004,17170.0,690.8134881155107,20300.0,39.917063431116574,-5.046268656716419,0.9553953867638927,0.9553953867638927,0.9925717980379973,0.898956544710078,0.548909829092344,0.9665483101461241,0.6539238437776642,0.7789736303250482
TEN,36.0,-86.0,61.7225,24689.0,1447.885078687862,34262.0,51.605995717344754,5.261194029850747,0.8849221598417891,0.884922159841789,0.8105652473251221,0.44287412495046885,0.783750343613406,0.8626150860867889,0.6814874780145248,0.7539385212434304
CAR,35.5,-80.0,86.635,34654.0,3200.8452458754514,47260.0,60.27911164465787,5.346268656716418,0.7915233426747772,0.7915233426747772,0.38913847931541,0.439109760929864,0.9580005622814337,0.670807883666967,0.8023333218759627,0.7497231465923644
SW,36.0,-111.5,31.0275,12411.0,916.6522265002284,18263.0,42.193472508085854,5.6000000000000005,1.0,1.0,0.9382782143101033,0.4278827103420949,0.5946448086272785,0.9814834642930309,0.5446161791417234,0.7193630932022463
CENT,38.5,-94.5,86.22500000000001,34490.0,4819.499554384267,57960.0,49.74721376497863,2.852238805970149,0.7930604631981479,0.7930604631981479,0.0,0.5494650640602299,0.7464058454687443,0.5551423242387036,0.68732361104619,0.6344510963231954
CAL,36.5,-119.5,76.2925,30517.0,3256.326603594204,36788.0,41.742630519711135,10.326865671641793,0.8302981451454172,0.8302981451454172,0.375800281616533,0.21872936203936078,0.5855870125921042,0.6939487860867519,0.4755297174262812,0.5628973448904695
TEX,31.0,-99.0,123.9475,49579.0,3799.723041013094,85215.0,36.606925140209704,12.010447761194031,0.651636002361917,0.6516360023619169,0.2451630836607802,0.1442345793158103,0.48240635723218844,0.5296941267515759,0.38095482385727497,0.44045054501499536
MIDW,42.0,-89.0,238.51500000000001,95406.0,4491.127477787635,120115.0,36.068503030107316,-3.3805970149253732,0.2221139156270796,0.2221139156270796,0.07894348401925055,0.825254259675076,0.47158900263813924,0.17916278614473088,0.5776885797492202,0.41827826230742443
SE,33.0,-84.0,82.6225,33049.0,2347.584762171477,53428.0,19.885510838074627,9.285074626865672,0.8065665038943511,0.806566503894351,0.594269670912697,0.2648263109232599,0.14645903184132678,0.7428774539998549,0.18196921556590673,0.40633251093948597
MIDA,39.0,-77.0,297.76,119104.0,3195.424166974403,144084.0,37.794472521968764,0.49850746268656715,0.0,0.0,0.39044175351590704,0.6536124686302999,0.5062651863640004,0.1171325260547721,0.5504693710438902,0.3771346330482429
FLA,28.0,-82.0,76.4575,30583.0,1867.0215992788924,52211.0,12.595671138177927,15.270149253731345,0.8296795478616217,0.8296795478616217,0.709801206855849,0.0,0.0,0.79371604555989,0.0,0.317486418223956
