hex_id,local_temp_c,elevation_m
0,25.024324324324322,104.0
1,26.645945945945947,12.0
2,25.254054054054052,77.0
3,21.37297297297297,511.0
4,25.17027027027027,127.0
5,25.28648648648649,9.0
6,21.527027027027028,20.0
7,21.262162162162163,1.0
8,22.013513513513512,128.0
9,21.86216216216216,62.0
10,21.494594594594595,6.0
11,19.62702702702703,1.0
12,19.762162162162163,2.0
13,21.29189189189189,141.0
14,21.105405405405406,203.0
15,21.25135135135135,19.0
16,19.82162162162162,2.0
17,19.335135135135136,9.0
18,20.14324324324324,3.0
19,19.84864864864865,3.0
20,20.98378378378378,190.0
21,21.17027027027027,166.0
22,20.35135135135135,141.0
23,20.37027027027027,15.0
24,19.14324324324324,0.0
25,17.51081081081081,4.0
26,18.524324324324322,10.0
27,18.967567567567567,6.0
28,19.44054054054054,4.0
29,20.11081081081081,233.0
30,20.221621621621622,187.0
31,19.945945945945947,124.0
32,19.886486486486486,96.0
33,19.032432432432433,23.0
34,18.502702702702702,0.0
35,17.13243243243243,7.0
36,17.55675675675676,31.0
37,17.754054054054052,12.0
38,18.15945945945946,7.0
39,19.864864864864863,670.0
40,20.564864864864866,673.0
41,19.2972972972973,264.0
42,19.451351351351352,252.0
43,18.675675675675677,205.0
44,18.83783783783784,149.0
45,19.25945945945946,98.0
46,18.732432432432432,29.0
47,18.756756756756758,16.0
48,17.85945945945946,3.0
49,17.5972972972973,0.0
50,16.716216216216218,0.0
51,17.51081081081081,1.0
52,17.6027027027027,0.0
53,16.75945945945946,30.0
54,16.68918918918919,53.0
55,17.464864864864865,7.0
56,17.77027027027027,1048.0
57,16.732432432432432,1023.0
58,17.783783783783782,813.0
59,17.38918918918919,512.0
60,17.68378378378378,571.0
61,16.737837837837837,510.0
62,16.81081081081081,463.0
63,18.464864864864865,186.0
64,18.14864864864865,118.0
65,18.318918918918918,69.0
66,18.083783783783783,15.0
67,17.59189189189189,10.0
68,17.624324324324323,0.0
69,17.805405405405406,0.0
70,17.1027027027027,1.0
71,16.8972972972973,2.0
72,17.22972972972973,0.0
73,16.42162162162162,0.0
74,15.594594594594595,5.0
75,15.783783783783784,32.0
76,16.48108108108108,26.0
77,16.616216216216216,0.0
78,14.124324324324325,1634.0
79,13.55135135135135,1452.0
80,14.713513513513513,1443.0
81,16.4027027027027,765.0
82,16.002702702702702,656.0
83,15.359459459459458,683.0
84,16.13243243243243,557.0
85,15.778378378378378,463.0
86,17.84864864864865,191.0
87,18.154054054054054,90.0
88,18.25945945945946,104.0
89,17.16756756756757,33.0
90,17.445945945945947,29.0
91,17.243243243243242,15.0
92,16.78648648648649,16.0
93,17.462162162162162,3.0
94,16.494594594594595,0.0
95,16.17837837837838,10.0
96,15.662162162162161,3.0
97,15.024324324324324,24.0
98,14.997297297297298,13.0
99,15.95945945945946,0.0
100,15.683783783783783,14.0
101,14.54054054054054,0.0
102,15.340540540540541,22.0
103,15.410810810810812,44.0
104,15.267567567567568,15.0
105,15.559459459459461,5.0
106,14.670270270270269,1543.0
107,13.81891891891892,1471.0
108,16.386486486486486,990.0
109,17.072972972972973,849.0
110,15.372972972972972,857.0
111,15.145945945945945,741.0
112,15.343243243243245,684.0
113,16.24054054054054,447.0
114,16.67837837837838,311.0
115,16.08648648648649,165.0
116,17.537837837837838,140.0
117,17.2027027027027,79.0
118,16.462162162162162,82.0
119,16.732432432432432,72.0
120,16.508108108108107,81.0
121,16.59189189189189,12.0
122,15.859459459459458,107.0
123,15.940540540540539,64.0
124,16.075675675675676,65.0
125,15.705405405405406,17.0
126,15.154054054054056,61.0
127,14.883783783783786,54.0
128,15.578378378378378,48.0
129,15.278378378378378,63.0
130,14.967567567567567,48.0
131,15.05135135135135,41.0
132,15.048648648648648,9.0
133,14.35135135135135,0.0
